Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,,,,,,
157,6,8,2004,Rfrigo,4749.446,6509.997,4749.429,6510.078,20,GA1,GA4,1,,,,0,0,0,0,1,1,Simple,,,,,,,,,
158,6,8,2004,Rfrigo,4749.446,6509.997,4749.429,6510.078,20,GA1,GA4,2,,,,0,0,0,0,1,1,Simple,,,,,,,,,
160,6,8,2004,Rfrigo,4749.446,6509.997,4749.429,6510.078,20,GA1,GA4,4,,,,0,0,0,0,1,1,Simple,,,,,,,,,
161,6,8,2004,Rfrigo,4749.446,6509.997,4749.429,6510.078,20,GA1,GA4,5,f,16,,0,0,0,0,1,1,Simple,,,,,,,,,
162,6,8,2004,Rfrigo,4749.446,6509.997,4749.429,6510.078,20,GA1,GA4,6,,,,0,0,0,0,1,1,Simple,,,,,,,,,
163,6,8,2004,Rfrigo,4749.446,6509.997,4749.429,6510.078,20,GA1,GA4,7,,,,0,0,0,0,1,0,Simple,,,,,,,,,
165,6,8,2004,Rfrigo,4749.446,6509.997,4749.429,6510.078,20,GA1,GA4,9,,,,0,0,0,0,1,1,Simple,,,,,,,,,
166,6,8,2004,Rfrigo,4749.446,6509.997,4749.429,6510.078,20,GA1,GA4,10,m,65,,0,0,0,0,1,1,Simple,,,,,,,,,
167,6,8,2004,Rfrigo,4749.446,6509.997,4749.429,6510.078,20,GA1,GA4,11,,,,0,0,0,0,1,1,Simple,,,,,,,,,
168,6,8,2004,Rfrigo,4749.446,6509.997,4749.429,6510.078,20,GA1,GA4,12,f,28,,0,0,0,0,1,1,Simple,,,,,,,,,
169,6,8,2004,Rfrigo,4749.446,6509.997,4749.429,6510.078,20,GA1,GA4,13,f,39,,0,0,0,0,1,1,Simple,,,,,,,,,
170,6,8,2004,Rfrigo,4749.446,6509.997,4749.429,6510.078,20,GA1,GA4,14,,,,0,0,0,0,1,1,Simple,,,,,,,,,
171,6,8,2004,Rfrigo,4749.446,6509.997,4749.429,6510.078,20,GA1,GA4,15,m,96,,0,0,0,0,1,1,Simple,,,,,,,,,
172,6,8,2004,Rfrigo,4749.446,6509.997,4749.429,6510.078,20,GA1,GA4,16,,,,0,0,0,0,1,1,Simple,,,,,,,,,
173,6,8,2004,Rfrigo,4749.446,6509.997,4749.429,6510.078,20,GA1,GA4,17,f,17,,0,0,0,0,1,1,Simple,,,,,,,,,
174,6,8,2004,Rfrigo,4749.446,6509.997,4749.429,6510.078,20,GA1,GA4,18,,,,0,0,0,0,1,1,Simple,,,,,,,,,
175,6,8,2004,Rfrigo,4749.446,6509.997,4749.429,6510.078,20,GA1,GA4,19,,,,0,0,0,0,1,1,Simple,,,,,,,,,
176,6,8,2004,Rfrigo,4749.446,6509.997,4749.429,6510.078,20,GA1,GA4,20,b,75,,0,0,0,0,1,1,Simple,,,,,,,,,
177,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,33,GA1,CI1,1,m,63,,0,0,1,0,1,1,Simple,,,,,,,,,
178,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,33,GA1,CI1,2,f,29,,0,0,0,0,1,1,Simple,2LS,,,,,,,,
179,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,33,GA1,CI1,3,f,32,,0,0,0,0,1,1,Simple,,,,,,,,,
180,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,35,GA1,CI1,4,m,29,,0,0,0,0,1,1,Simple,,,,,,,,,
181,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,35,GA1,CI1,5,m,72,,0,0,1,0,1,1,Simple,,,,,,,,,
