Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,,
258,21,7,2010,Rdoucette,,,,,22,GA1,GA3,10,f,42,,,,,,,,,,,,
259,21,7,2010,Rdoucette,,,,,22,GA1,GA3,10,m,36,,,,,,,,,,,,
260,21,7,2010,Rdoucette,,,,,22,GA1,GA3,10,m,67,,,,,,,,,,,,
261,21,7,2010,Rdoucette,,,,,22,GA1,GA3,10,f,26,,,,,,,,,,,,
262,21,7,2010,Rdoucette,,,,,22,GA1,GA3,10,m,37,,,,,,,,,,,,
263,21,7,2010,Rdoucette,,,,,22,GA1,GA3,10,f,78,,,,,,,,,,,,
264,21,7,2010,Rdoucette,,,,,22,GA1,GA3,10,m,78,,,,,,,,,,,,
265,21,7,2010,Rdoucette,,,,,22,GA1,GA3,11,f,49,,,,,,,,,,,,
266,21,7,2010,Rdoucette,,,,,22,GA1,GA3,11,f,24,,,,,,,,,,,,
267,21,7,2010,Rdoucette,,,,,22,GA1,GA3,11,m,22,,,,,,,,,,,,
268,21,7,2010,Rdoucette,,,,,22,GA1,GA3,11,m,36,,,,,,,,,,,,
269,21,7,2010,Rdoucette,,,,,22,GA1,GA3,12,m,18,,,,,,,,,,,,
270,21,7,2010,Rdoucette,,,,,22,GA1,GA3,12,m,61,,,,,,,,,,,,
271,21,7,2010,Rdoucette,,,,,22,GA1,GA3,12,m,45,,,,,,,,,,,,
272,21,7,2010,Rdoucette,,,,,22,GA1,GA3,12,f,28,,,,,,,,,,,,
273,21,7,2010,Rdoucette,,,,,22,GA1,GA3,12,f,26,,,,,,,,,,,,
274,21,7,2010,Rdoucette,,,,,22,GA1,GA3,12,f,36,,,,,,,,,,,,
275,21,7,2010,Rdoucette,,,,,22,GA1,GA3,12,f,46,,,,,,,,,,,,
276,21,7,2010,Rdoucette,,,,,22,GA1,GA3,13,f,38,,,,,,,,,,,,
277,21,7,2010,Rdoucette,,,,,22,GA1,GA3,13,m,41,,,,,,,,,,,,
278,21,7,2010,Rdoucette,,,,,22,GA1,GA3,13,m,60,,,,,,,,,,,,
279,21,7,2010,Rdoucette,,,,,22,GA1,GA3,13,f,62,,,,,,,,,,,,
