Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Transect,Trans,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,Début - lat.,Début - long.,Fin - lat.,Fin - long.
260,22,6,2000,Elandry,4750.236,6505.239,4750.237,6505.316,,AB1,7,13,i,,1,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.83726667,65.08731667,47.83728333,65.0886
261,22,6,2000,Elandry,4750.236,6505.239,4750.237,6505.316,,AB1,7,13,f,61,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.83726667,65.08731667,47.83728333,65.0886
262,22,6,2000,Elandry,4750.236,6505.239,4750.237,6505.316,,AB1,7,14,,,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.83726667,65.08731667,47.83728333,65.0886
263,22,6,2000,Elandry,4750.236,6505.239,4750.237,6505.316,,AB1,7,15,,,,0,0,1,0,0,1,Complexe,,dur cailloux simple complexe,,47.83726667,65.08731667,47.83728333,65.0886
264,22,6,2000,Elandry,4750.236,6505.239,4750.237,6505.316,,AB1,7,16,m,37,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.83726667,65.08731667,47.83728333,65.0886
265,22,6,2000,Elandry,4750.236,6505.239,4750.237,6505.316,,AB1,7,17,m,58,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.83726667,65.08731667,47.83728333,65.0886
266,22,6,2000,Elandry,4750.236,6505.239,4750.237,6505.316,,AB1,7,18,,,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.83726667,65.08731667,47.83728333,65.0886
267,22,6,2000,Elandry,4750.236,6505.239,4750.237,6505.316,,AB1,7,19,,,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.83726667,65.08731667,47.83728333,65.0886
268,22,6,2000,Elandry,4750.236,6505.239,4750.237,6505.316,,AB1,7,20,,,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.83726667,65.08731667,47.83728333,65.0886
269,22,6,2000,Mcomeau,4750.236,6505.239,4750.237,6505.316,,AB1,7,1,,,,0,0,1,1,0,1,simple,,dur algue cailloux simple,,47.83726667,65.08731667,47.83728333,65.0886
270,22,6,2000,Mcomeau,4750.236,6505.239,4750.237,6505.316,,AB1,7,2,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.83726667,65.08731667,47.83728333,65.0886
274,22,6,2000,Mcomeau,4750.236,6505.239,4750.237,6505.316,,AB1,7,6,m,40,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.83726667,65.08731667,47.83728333,65.0886
275,22,6,2000,Mcomeau,4750.236,6505.239,4750.237,6505.316,,AB1,7,7,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.83726667,65.08731667,47.83728333,65.0886
