Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,
265,24,6,2014,Dgiard,,,,,20,SH,8,4,f,55,,,,,,,,,,,,,
266,24,6,2014,Dgiard,,,,,20,SH,8,5,m,71,,,,,,,,,,,,,
267,24,6,2014,Dgiard,,,,,20,SH,8,5,m,61,,,,,,,,,,,,,
268,24,6,2014,Dgiard,,,,,20,SH,8,5,m,15,,,,,,,,,,,,,
269,24,6,2014,Dgiard,,,,,20,SH,8,6,m,19,,,,,,,,,,,,,
270,24,6,2014,Dgiard,,,,,20,SH,8,6,m,100,,,,,,,,,,,,,
271,24,6,2014,Dgiard,,,,,20,SH,8,7,f,33,,,,,,,,,,,,,
272,24,6,2014,Dgiard,,,,,20,SH,8,8,m,21,,,,,,,,,,,,,
273,24,6,2014,Dgiard,,,,,20,SH,8,9,m,118,,,,,,,,,,,,,
274,24,6,2014,Dgiard,,,,,20,SH,8,9,f,46,,,,,,,,,,,,,
275,24,6,2014,Dgiard,,,,,20,SH,8,9,m,19,,,,,,,,,,,,,
276,24,6,2014,Dgiard,,,,,20,SH,8,10,m,70,,,,,,,,,,,,,
277,24,6,2014,Dgiard,,,,,20,SH,8,18,f,79,,,,,,,,,,,,,
278,24,6,2014,Dgiard,,,,,20,SH,8,20,m,46,,,,,,,,,,,,,
279,24,6,2014,Dgiard,,,,,20,SH,8,20,m,75,,,,,,,,,,,,,
280,24,6,2014,Bcomeau,,,,,20,SH,8,1,,,,,,,,,,,,,,,
281,24,6,2014,Bcomeau,,,,,20,SH,8,3,,,,,,,,,,,,,,,
282,24,6,2014,Bcomeau,,,,,20,SH,8,5,f,46,,,,,,,,,,,,,
283,24,6,2014,Bcomeau,,,,,20,SH,8,5,f,51,,,,,,,,,,,,,
284,24,6,2014,Bcomeau,,,,,20,SH,8,6,m,36,,,,,,,,,,,,,
